コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
3123,サイボー,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,-,-
312A,シンコーホールディングス,PRO Market,2050,建設業,3,建設・資材,-,-
3131,シンデン・ハイテックス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3132,マクニカホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
3133,海帆,グロース（内国株式）,6100,小売業,14,小売,-,-
3134,Ｈａｍｅｅ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
3135,マーケットエンタープライズ,プライム（内国株式）,6100,小売業,14,小売,-,-
3137,ファンデリー,グロース（内国株式）,6100,小売業,14,小売,-,-
3138,富士山マガジンサービス,グロース（内国株式）,6100,小売業,14,小売,-,-
3139,ラクト・ジャパン,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
313A,ｉシェアーズ　Ｓ＆Ｐ　５００　トップ　２０　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
3140,ＢＲＵＮＯ,グロース（内国株式）,6050,卸売業,13,商社・卸売,-,-
3141,ウエルシアホールディングス,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
3143,オーウイル,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3148,クリエイトＳＤホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
314A,ｉシェアーズ　ゴールド　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
3150,グリムス,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,7,TOPIX Small 2
3151,バイタルケーエスケー・ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
3153,八洲電機,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
3154,メディアスホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
3156,レスター,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
3157,ジオリーブグループ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3159,丸善ＣＨＩホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
315A,グローバルＸ　銀行　高配当－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
3160,大光,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3161,アゼアス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3166,ＯＣＨＩホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3167,ＴＯＫＡＩホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
3168,ＭＥＲＦ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3169,ミサワ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
316A,ｉＦｒｅｅＥＴＦ　ＦＡＮＧ＋,ETF・ETN,-,-,-,-,-,-
3172,ティーライフ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3173,Ｃｏｍｉｎｉｘ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3174,ハピネス・アンド・ディ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3175,エー・ピーホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3176,三洋貿易,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
3177,ありがとうサービス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3178,チムニー,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3179,シュッピン,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
317A,エス・エム・エス・データテック,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
3180,ビューティガレージ,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
3181,買取王国,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3182,オイシックス・ラ・大地,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
3183,ウイン・パートナーズ,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
3184,ＩＣＤＡホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3185,夢展望,グロース（内国株式）,6100,小売業,14,小売,-,-
3186,ネクステージ,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
3187,ミラタップ,グロース（内国株式）,6100,小売業,14,小売,-,-
3189,ＡＮＡＰ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
318A,ＶＩＸ短期先物指数ＥＴＦ,ETF・ETN,-,-,-,-,-,-
3190,ホットマン,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3191,ジョイフル本田,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
3192,白鳩,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3193,エターナルホスピタリティグループ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
3195,ジェネレーションパス,グロース（内国株式）,6100,小売業,14,小売,-,-
3196,ホットランド,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
3197,すかいらーくホールディングス,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
3198,ＳＦＰホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
3199,綿半ホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
3201,日本毛織,プライム（内国株式）,3100,繊維製品,4,素材・化学,6,TOPIX Small 1
3202,ダイトウボウ,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,-,-
3204,トーア紡コーポレーション,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,-,-
3205,ダイドーリミテッド,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,-,-
321A,ヒューマンステージホールディングス,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
3221,ヨシックスホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
3222,ユナイテッド・スーパーマーケット・ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
3223,エスエルディー,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3224,ゼネラル・オイスター,グロース（内国株式）,6100,小売業,14,小売,-,-
3226,日本アコモデーションファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
3231,野村不動産ホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
3232,三重交通グループホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
3234,森ヒルズリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
3236,プロパスト,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
3237,イントランス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
3238,セントラル総合開発,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
3241,ウィル,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
3242,アーバネットコーポレーション,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
3245,ディア・ライフ,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
3246,コーセーアールイー,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
3248,アールエイジ,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
3249,産業ファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
3252,地主,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
3254,プレサンスコーポレーション,スタンダード（内国株式）,8050,不動産業,17,不動産,6,TOPIX Small 1
3261,グランディーズ,グロース（内国株式）,8050,不動産業,17,不動産,-,-
3264,アスコット,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
3266,ファンドクリエーショングループ,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
3267,フィル・カンパニー,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
3269,アドバンス・レジデンス投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
3271,ＴＨＥグローバル社,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
3276,ＪＰＭＣ,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
3277,サンセイランディック,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
3279,アクティビア・プロパティーズ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
3280,エストラスト,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
3281,ＧＬＰ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
3282,コンフォリア・レジデンシャル投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
3283,日本プロロジスリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
3284,フージャースホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
3286,トラストホールディングス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
3287,星野リゾート・リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
3288,オープンハウスグループ,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
3289,東急不動産ホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
3290,Ｏｎｅリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
3291,飯田グループホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
3292,イオンリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
3293,アズマハウス,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
3294,イーグランド,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
3295,ヒューリックリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
3296,日本リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
3297,東武住販,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
3299,ムゲンエステート,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
3300,アンビション　ＤＸ　ホールディングス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
3302,帝国繊維,プライム（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
3306,日本製麻,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3309,積水ハウス・リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
3315,日本コークス工業,プライム（内国株式）,3300,石油・石炭製品,2,エネルギー資源,7,TOPIX Small 2
3317,フライングガーデン,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3319,ゴルフダイジェスト・オンライン,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
3320,クロスプラス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3321,ミタチ産業,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3322,アルファグループ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3323,レカム,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3326,ランシステム,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
3328,ＢＥＥＮＯＳ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
3329,東和フードサービス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3333,あさひ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
3341,日本調剤,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
3347,トラスト,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3349,コスモス薬品,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
3350,メタプラネット,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3352,バッファロー,スタンダード（内国株式）,6100,小売業,14,小売,-,-
